id,logo_id,state_name,name,site_url,addr1,addr,addr2_etc,city,state,zipcode,phone,tagline,volunteer,volunteer_url
32,,New York,Make the Road New York,https://www.populardemocracy.org/our-affiliates,155 Address Lane,,,Bronx,NY,12377,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
33,,New York,New York Communities for Change,https://www.populardemocracy.org/our-affiliates,156 Address Lane,Building,1,Bronx,NY,12378,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
34,,New York,VOCAL-NY,https://www.populardemocracy.org/our-affiliates,157 Address Lane,Building,1,Bronx,NY,12379,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
35,,Ohio,Ohio Organizing Collaborative,https://www.populardemocracy.org/our-affiliates,158 Address Lane,Building,1,Bronx,OH,12380,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
36,,Oregon,Pineros y Campesinos Unidos del Noroeste,https://www.populardemocracy.org/our-affiliates,159 Address Lane,Building,1,Bronx,OR,12381,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
37,,Pennsylvania,215 People's Alliance,https://www.populardemocracy.org/our-affiliates,160 Address Lane,Building,1,Bronx,PA,12382,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
38,,Pennsylvania,CASA,https://www.populardemocracy.org/our-affiliates,161 Address Lane,Building,1,Bronx,PA,12383,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
39,,Pennsylvania,Center for Coalfield Justice,https://www.populardemocracy.org/our-affiliates,162 Address Lane,,,Bronx,PA,12384,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
40,,Pennsylvania,Make the Road Pennsylvania,https://www.populardemocracy.org/our-affiliates,163 Address Lane,Building,1,Bronx,PA,12385,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
41,,Pennsylvania,One Pennsylvania,https://www.populardemocracy.org/our-affiliates,164 Address Lane,Building,1,Bronx,PA,12386,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
42,,Texas,Texas Organizing Project,https://www.populardemocracy.org/our-affiliates,166 Address Lane,Building,1,Bronx,TX,12388,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
43,,Texas,Workers Defense Project,https://www.populardemocracy.org/our-affiliates,167 Address Lane,Building,1,Bronx,TX,12389,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
44,,Virginia,CASA,https://www.populardemocracy.org/our-affiliates,168 Address Lane,Building,1,Bronx,VA,12390,,We build things!,Volunteer with Us!,http://www.s.co/volunteer
45,,Virginia,New Virginia Majority,https://www.populardemocracy.org/our-affiliates,169 Address Lane,Building,1,Bronx,VA,12391,123-456-7890,,,
46,,Vermont,Rights & Democracy,https://www.populardemocracy.org/our-affiliates,170 Address Lane,Building,1,Bronx,VT,12392,123-456-7890,,,
47,,Washington,Working Washington,https://www.populardemocracy.org/our-affiliates,171 Address Lane,Building,1,Bronx,WA,12393,123-456-7890,,,
48,,Wisconsin,Black Leaders Organizing for Communities,https://www.populardemocracy.org/our-affiliates,172 Address Lane,Building,1,Bronx,WI,12394,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
49,,Wisconsin,Leaders Igniting Transformation (LIT),https://www.populardemocracy.org/our-affiliates,173 Address Lane,Building,1,Bronx,WI,12395,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
50,,West Virginia,Our Future West Virginia,https://www.populardemocracy.org/our-affiliates,174 Address Lane,Building,1,Bronx,WV,12396,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
51,,District of Columbia,SPACEs,https://www.populardemocracy.org/our-affiliates,131 Address Lane,Building,1,Bronx,DC,12353,,We build things!,Volunteer with Us!,http://www.s.co/volunteer
52,,Puerto Rico,Taller Salud,https://www.populardemocracy.org/our-affiliates,165 Address Lane,Building,1,Bronx,PR,12387,123-456-7890,We build things!,Volunteer with Us!,
